,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
859,ive tried lots flavors coffee one favorite great taste bitter great flavored cof...,Positive,53.4%,6.2%,40.4%
860,bought meal backup keep desk days need quick easy lunch wasnt sure expect far ta...,Positive,58.3%,39.7%,1.9%
861,taste good ones filled sugar love much ordered lbs put airtight bags...,Positive,51.9%,4.0%,44.1%
862,beat tomatoes making pasta sauce buy amazonyou get free shipping real bargin...,Negative,36.6%,24.5%,38.9%
863,saltine crackers taste good crumbly soon take bite end crumbs place like idea or...,Negative,15.0%,24.8%,60.2%
864,quality product right price ive part subscribe save program organic maple syrup ...,Positive,48.4%,16.0%,35.6%
865,logo switch says want dont ingredients reads juice filtered sparking water suffi...,Positive,50.0%,33.1%,16.9%
866,get chai office everyone loves used buy sams club couldnt find buy case split of...,Neutral,26.4%,53.9%,19.7%
867,tried recently based reviews enjoyed chicken rice seasonings complex medium heat...,Neutral,1.7%,56.8%,41.6%
868,ordering product nyc international grocery store happy see amazon offers best ta...,Negative,16.6%,10.7%,72.8%
869,coffee smelled great taste less impressive wasnt coffee bitter strong taste sort...,Negative,10.8%,8.5%,80.7%
870,totally replaced coke lifei love coke pizzas mexican food chinese food especiall...,Negative,17.2%,8.0%,74.8%
871,looking great gluten free snack wont sorry chose product favorite flavor apple n...,Neutral,12.7%,63.3%,23.9%
872,best coffee modern world taste take u unknown places like dream come true br br ...,Negative,39.7%,14.4%,45.9%
873,little unsure ordered great hot tasty remind high quality slim jims way cheaper ...,Positive,70.7%,21.7%,7.7%
874,muir glen cans lined plastic leach bisphenol bad great product standard househol...,Positive,57.2%,10.2%,32.6%
875,two barn cats cant touch evening visit back porch receive cat treats...,Positive,72.8%,20.2%,7.0%
876,favorite candies tremendous healing properties price great although found qualit...,Neutral,4.8%,49.4%,45.8%
877,using giovanni body wash white tea scent several years extremely sensitive skin ...,Neutral,33.8%,36.5%,29.7%
878,greeen tea drink doesnt bitter taste green teas tastes smooth drinking cups day ...,Positive,58.4%,29.5%,12.1%
879,prince wales excellent blend tea leaves supplier responded quickly quality produ...,Negative,11.3%,16.3%,72.4%
880,coconut oil great taste eaten alone cooking girls love cook eggs...,Neutral,18.4%,70.8%,10.8%
881,give makers line organic baby food stuff obviously high quality smells fishy eve...,Negative,22.3%,16.9%,60.8%
882,first bite thought tasted like rice chex everyone else whos tried said hm taste ...,Negative,5.4%,6.4%,88.2%
883,year old son allergic nuts soy saw store thought would great way make fast desse...,Neutral,37.1%,39.0%,23.9%
884,love pineapple taste super good havent found anything better pineapple certain b...,Positive,38.9%,27.0%,34.1%
885,marley coffee individual cup pods something new delonge espresso maker feature u...,Positive,56.0%,5.2%,38.8%
886,got garden christmas first round mixed herbs went pretty well however need follo...,Neutral,29.1%,47.4%,23.5%
887,got gift pricey fact real import germany product reportedly arrived promptly wel...,Negative,17.2%,33.7%,49.1%
888,expecting great chocolate flavor disappointed took first sip find tasted like we...,Positive,49.2%,7.2%,43.6%
889,flavor lasts good whileit doesnt stick dental workin store little pricy like upi...,Positive,60.6%,5.4%,34.0%
890,remember chicory tea young lad made soaking chunk chicory bark cup hot water lik...,Negative,42.3%,3.7%,54.0%
891,product great baby loves bad available locally live amazon uses ups delivery ser...,Positive,44.9%,12.1%,43.0%
892,cant tell difference candy containing sugar satisfying sweet tooth...,Neutral,10.0%,46.4%,43.6%
893,besides plain tasty small addition nutiva coconut oil daily diet lowered triglyc...,Neutral,18.8%,55.2%,26.0%
894,mind qualify cookie food needs possess two ingredients sugar fat reduce eliminat...,Negative,10.6%,16.3%,73.2%
895,son loved flavor easy pack feed spills love serving fruit anywhere pnlu wish cou...,Negative,16.2%,8.2%,75.6%
896,husband love jet fuel k kups love coffee people coffee jet fuel great cup strong...,Negative,12.9%,10.8%,76.3%
897,purchase keurig coffee maker included samples various coffees black silk favorit...,Positive,77.6%,7.9%,14.5%
898,recently put gluten free diet nosing around local health food store cookies coul...,Neutral,29.9%,36.3%,33.8%
899,really good weight watchers tablespoons point vs points regular peanut butter sa...,Negative,34.7%,3.7%,61.6%
900,excellent product although didnt taste like blood orange juice like grapefruit j...,Negative,39.8%,7.6%,52.6%
901,love coffee smooth reminds coffee star hotel oz cup delicious...,Neutral,16.2%,42.1%,41.7%
902,first tea restaurant california fell love wonderful flavor require sugar refresh...,Negative,14.0%,35.6%,50.4%
903,made glutenallergic girl loved make scratch sometimes come slimy center youve ba...,Negative,31.3%,10.2%,58.5%
904,dog loves theyre great cause theyre small easy chew dog old sometimes trouble ea...,Negative,29.5%,29.9%,40.6%
905,great flavor makes great cup coffee fine cup coffee feel like much flavored coff...,Positive,87.3%,11.4%,1.3%
906,necessarily bad thing cacao quite sour youre used dutch process chocolate expect...,Positive,44.3%,20.9%,34.7%
907,particular coffee bit strong taste worth try certainly get good amount coffee mo...,Positive,59.7%,34.3%,6.0%
908,saw spicy thai chips knew try love spicy love thai food first chips super spicy ...,Negative,4.6%,24.2%,71.3%
909,suffering heat wave sweltering degrees yesterday since air conditioner went repa...,Negative,26.3%,22.0%,51.7%
910,im huge flavored coffee person really love coffee mild medium bodied flavoring i...,Positive,84.5%,10.6%,4.9%
911,cannot hardly find gum anymore stores tooka chance ordered online good choice ma...,Neutral,1.9%,58.0%,40.1%
912,keep number jars oil around house one kitchen use everywhere would use butter gr...,Negative,36.8%,4.8%,58.5%
913,stuff pretty good im even really tea drinker great smell strong flavor wife abso...,Positive,56.3%,11.8%,31.9%
914,eat think smile cinnamon cranberry walnut clusters interesting snack ive started...,Positive,92.0%,1.4%,6.6%
915,weve using walnut oil many years brush toast take place butter eliminating much ...,Neutral,2.0%,60.3%,37.7%
916,making wine several years purchased mainly wine expert kits ordered one try maki...,Neutral,14.6%,71.0%,14.4%
917,love drink diabetic impossible find juice carb love sweettartness taste comes cl...,Positive,64.0%,21.5%,14.5%
918,stuff absolutely incredible taste smooth mix water milk like vanilla havent tast...,Positive,53.5%,17.8%,28.7%
919,super freshdelicious use anything else ordered multiple timesalways wholesome qu...,Negative,13.2%,16.8%,70.0%
920,love bars great snack around bit expensive worth usually buy week tend last mini...,Negative,15.0%,4.7%,80.3%
921,great morning starter love dark yet smooth coffee bitterness love green mountain...,Negative,21.8%,34.2%,44.0%
922,excited found amazon carried product havent able find anywhere husbands favorite...,Neutral,24.6%,54.8%,20.6%
923,pup loves food love organic bulked useless unhealthy fillers however unless your...,Negative,1.4%,27.2%,71.3%
924,goody like consuming giant bowl brown rice eating ricewhite rice mild flavored g...,Neutral,25.3%,71.8%,2.9%
925,love conditioner works great smells great hair feels soft heavy like bottle made...,Positive,35.6%,31.7%,32.7%
926,kids still university love chex mix easier make chex mix seasoning packets far c...,Positive,63.1%,12.0%,24.8%
927,starbucks quit making tassimo disks thought would throw away coffee maker instea...,Neutral,23.4%,42.0%,34.6%
928,picked oz bag petco first like since puppy loved committed bigger bag best price...,Positive,48.0%,38.7%,13.3%
929,theyve managed make healthy food fun tasty crackers delicious like triscuit with...,Neutral,32.4%,40.3%,27.3%
930,finding rich roasted taste affordable price hard coffee fills ticket like coffee...,Positive,53.9%,16.0%,30.2%
931,like flavor coconut water love flavor mangobr tastes nothing like combination tw...,Neutral,23.0%,62.4%,14.5%
932,ordered read reviews saw review said actual quantity called confirm said error s...,Positive,68.5%,24.6%,6.9%
933,typically drink coffee latte microwave little skim milk use frother coffee froth...,Neutral,1.9%,82.5%,15.6%
934,molly cocoa cocker spaniels said tell love greenies cant think anything would ra...,Negative,10.0%,43.1%,46.9%
935,wonderful light spartkling tea flavor mint single estate tea quite refreshing lo...,Negative,7.8%,28.5%,63.7%
936,absolutely delicious best cheesecake ever eaten highly recommend waiting order i...,Positive,63.3%,23.5%,13.1%
937,imagine snow globe filled gummi sodas imagine open mouth stick head back eight s...,Negative,33.6%,10.2%,56.1%
938,really good gluten free crackers thought would give future came along ordering a...,Negative,21.2%,21.9%,56.9%
939,children everyone gets bag hassel kettle corn best flavor...,Neutral,12.3%,85.6%,2.1%
940,dont know product really helps production couldnt drink sips first glass like bl...,Neutral,29.3%,39.3%,31.3%
941,stuff great switched week old female gsd puppy week got breeder gave bag food fe...,Positive,62.1%,8.4%,29.5%
942,better deal could find anywhere else thanks amazon cat loves make good treat...,Positive,55.5%,32.9%,11.5%
943,green mountain kcups consistently great value breakfast blend isnt strong weak r...,Neutral,28.5%,67.3%,4.2%
944,high hopes coffee sometimes enjoy flavored coffee dont generally like sweetness ...,Neutral,37.8%,41.1%,21.2%
945,disco dust edible made baking purchase product purposes...,Positive,46.2%,36.4%,17.4%
946,first yellow grits family every eaten must say deliciousi priced local store muc...,Neutral,24.5%,65.3%,10.2%
947,amara refreshing replaced need one two cokes per day winwin propositionvastly fe...,Positive,54.4%,13.7%,31.9%
948,campbells cream onion soup hard find ordered dozen cans used winter dont ever co...,Neutral,12.9%,64.3%,22.8%
949,combination teas included product exceptional avid tea drinker cups coffee daily...,Neutral,14.6%,52.6%,32.8%
950,great source energy booster hit gym quickly energy booster kicks...,Positive,56.0%,6.3%,37.7%
951,nonsense purchase purchase quickly good condition found much cheaper retail stor...,Neutral,2.3%,69.8%,27.9%
952,purchased noodles family put gluten free diet thankful find alternative wheat no...,Negative,25.9%,19.7%,54.4%
953,love product actually discovered back college favorite coffee cart lady used whi...,Negative,13.2%,38.1%,48.7%
954,new glutenfree world found bread unexceptable less star option whether fresh toa...,Neutral,16.7%,78.6%,4.7%
955,arent many crunchy breakfast bars arent also super crumbly love one pretty much ...,Negative,31.7%,6.5%,61.7%
956,oops scuse got peanut butter stuck roof mouth skippy loove youbr br ive consumin...,Neutral,18.2%,49.4%,32.5%
957,ever since eukanuba making cat food fed kitties kitten food excellent results te...,Positive,45.5%,33.4%,21.1%
958,another winner red leaf teabr br smell particular matcha tangy slightly sweet ev...,Negative,7.4%,1.2%,91.3%
959,product advertises breaks apart easily training maybe chain saw handy product ha...,Neutral,1.2%,79.0%,19.8%
960,looking tulsi blends like nice change stinger tulsi flavor hints chamomile mint ...,Positive,41.6%,39.7%,18.7%
961,bought put baked goods unfortunately opened taste dont know theyll last chewy me...,Negative,37.1%,8.1%,54.8%
962,product claims leaves clean nourishes skin boon especially winter another plus f...,Negative,19.2%,34.4%,46.5%
963,big noble boy dog ten years die cancer recently animal shelter rescue pets great...,Positive,48.5%,20.3%,31.2%
964,takes minutes prepare tasty gumbo added okra shrimp package states onecup servin...,Positive,45.0%,41.5%,13.4%
965,ever since first nature valley granola bar never purchased brand love fact crunc...,Positive,36.4%,36.2%,27.3%
966,chips month away expiration date taste stale much flavorbr disappointed wonderin...,Neutral,33.6%,42.8%,23.6%
967,everry brand belgian chocolate side atlantic one several times seller sent bad c...,Negative,5.0%,3.8%,91.3%
968,made crab rangoon used sauce dipping sauce great love fact doesnt msg right amou...,Neutral,16.4%,71.7%,11.9%
969,dog loves treats vet suggested many well known dog treats great product...,Neutral,21.4%,71.4%,7.2%
970,ordered kettle chips following flavvorsbr salt fresh ground pepperbr tuscan chee...,Neutral,10.3%,61.7%,28.0%
971,really easy prepare yummy microwave put turn perfect warm crunchy tasty without ...,Positive,50.2%,44.3%,5.5%
972,newfoundland golden retriever westie large medium small toy keeps occupied hours...,Negative,16.0%,16.2%,67.8%
973,originally became fan pouchbased cat food nutro line pouches however nutro espec...,Positive,56.5%,32.3%,11.1%
974,maple flakes thought would great maple flavor little bit calories bad recomend u...,Negative,37.5%,9.7%,52.8%
975,stand smell opening dog love also percent meat need add supplements bulldog alle...,Positive,78.1%,20.5%,1.4%
976,received product christmas gift daughter knows enjoy cooking also mine new exoti...,Negative,10.2%,0.2%,89.7%
977,fell love flavor mrs millers homemade blueberry jam breakfast friendswhen found ...,Positive,70.4%,1.2%,28.4%
978,health conscious enjoy treats look brands dont many negative ingredientsbr mrs r...,Neutral,38.1%,44.2%,17.7%
979,love south beach smores able find tried ok sort taste like peanut butter toast b...,Negative,17.5%,13.9%,68.7%
980,using santa cruz lime juice years never found way bitter course fresh always bes...,Positive,70.2%,9.1%,20.8%
981,simply fell love chips refused share friends experience lot cheesefavored chips ...,Positive,49.9%,2.3%,47.8%
982,relatively small plant pot inches across appears fragile vines strong pretty gre...,Neutral,14.1%,48.2%,37.7%
983,good product pets great older dogs low fat soft chew price also good...,Positive,62.1%,11.4%,26.6%
984,makes sugar free orange drink vitamin c used get grocery already made bottles wa...,Negative,13.7%,16.5%,69.7%
985,ive buying puroast gerd drink coffee fine sure miss strong cup coffee dobut blen...,Negative,23.7%,5.8%,70.5%
986,local store used carry first one husband loves never use season mixes one truly...,Neutral,36.9%,49.9%,13.2%
987,tea works sometimes think causes strange dreams...,Positive,51.7%,34.5%,13.8%
988,columbia blend leans medium side bold side coffee however slight kick solid medi...,Positive,37.1%,26.2%,36.8%
989,dog loves thisand miki problems year skin outside tear ducts getting red rawpoor...,Positive,56.1%,3.5%,40.4%
990,pros big bears great taste softbr br cons amazon makes buy two pound bags stuff ...,Positive,60.6%,22.0%,17.4%
991,finding good bold decaf challenge kcups tullys house blend best one ive found...,Negative,6.1%,33.6%,60.4%
992,chai brand ive tried far seems good nicely spiced strong weak...,Negative,25.7%,1.3%,73.0%
993,use red clover tea lot friends helps cure insomnia also known cleanser body orga...,Positive,49.1%,29.7%,21.3%
994,slightly sweet thin crisp biscuit unlike fig newtons dont taste figs know small ...,Positive,60.0%,20.8%,19.2%
995,soft drink person fact havent soda drink years pleasant surprise may rethink dri...,Neutral,19.5%,47.5%,33.0%
996,chips awesome moved southern california years ago really missed havea chipsthank...,Positive,68.3%,26.1%,5.6%
997,stewarts abandoed us longer making best ginger beers fevertree bit milder stewar...,Negative,30.5%,1.7%,67.7%
998,health fitness nut ive tried everything love bars really filling taste great unl...,Positive,46.6%,6.9%,46.5%
999,found whole foods doesnt taste much like coffee good different way definitely si...,Positive,54.6%,26.8%,18.6%
1000,wonderful assortments chocolate lovers makes great gift wouldnt recommend orderi...,Neutral,12.6%,58.4%,29.0%
1001,label reader count fat grams carbs proteins grams fiber vs grams sugar foods adv...,Positive,52.2%,17.2%,30.6%
1002,confess im quite sure human reviews dog treat tell maggie mostly lab pound puppy...,Positive,56.9%,20.0%,23.0%
1003,taking prescription medications relieve night time pain allow sleep didnt work h...,Positive,60.2%,12.4%,27.5%
1004,ive purchased several different types packaged miso soups far best one ive tried...,Positive,49.0%,36.8%,14.2%
1005,son discovered somehow purchased grocery store yummy salty much buffalo wing fla...,Positive,87.2%,11.3%,1.5%
1006,recent pet food scare looking natural dog food treats could send parents dog pic...,Negative,25.0%,23.3%,51.7%
1007,ill let crackers speak theyre best like rice crackers far tell particular cracke...,Neutral,15.0%,76.5%,8.6%
1008,graham crackers great lunchboxesbr easy open messy eatbr tasty good size piecesb...,Negative,39.8%,15.1%,45.1%
1009,tried chocolate one perfect tastes natural excessively sweet like brands definit...,Neutral,12.3%,75.8%,11.9%
1010,think reviewers reviewing price product product terrific currently less per pouc...,Negative,20.1%,34.4%,45.5%
1011,look carb gain weight product allows eat pasta get high impact carbs blood sugar...,Neutral,26.9%,67.3%,5.8%
1012,title says like start basic roux ghee flour chicken stock constitute add bunch h...,Negative,13.5%,37.6%,49.0%
1013,tablets sweeten drinks without adding calories leave bitter aftertaste dissolve ...,Neutral,3.4%,82.1%,14.5%
1014,another great tasting popchip flavor popchips one best snack foods available day...,Neutral,16.5%,46.1%,37.5%
1015,product expired year received unusable throw away...,Positive,74.0%,2.2%,23.8%
1016,tried many brands tea product makes great hot tea purchased multi pak package al...,Neutral,5.2%,61.4%,33.3%
1017,thrilled find three labs sweet potatos packed tons vitamins good fiber pups love...,Negative,18.0%,15.6%,66.3%
1018,sale wild ride beef jerky decided try flavors wanted original good large strips ...,Negative,30.3%,32.1%,37.6%
1019,dog loves started weeks old teeth loved still young eat milk bones even beggin s...,Neutral,7.6%,88.7%,3.7%
1020,wish didnt purchase much trying first may good sore throat small amounts suppose...,Neutral,18.6%,65.4%,16.0%
1021,heck people drinking maybe different productsbr br dont care much protein thing ...,Neutral,11.4%,60.4%,28.2%
1022,mustve bought five bags since discovered jerky super tender sweet yet spicy than...,Positive,44.7%,44.4%,10.8%
1023,soft chewy gingerbread cookies absolutely delicious made company holiday party a...,Negative,25.3%,19.6%,55.1%
1024,pleased dog food sheltie good coat good movements harmony farms much better food...,Neutral,19.1%,61.6%,19.3%
1025,purchased corn flour could make glutenfree corn bread recipe babycakes book made...,Positive,38.1%,35.8%,26.1%
1026,wrong thinking dry salty plum didnt like taste say yhe product leaves bad taste ...,Neutral,36.5%,49.3%,14.2%
1027,buying size packet local walmart came compare prices subscribe save would make c...,Positive,62.6%,1.9%,35.5%
1028,dont know get box boxes picture shown clear get oz lbs...,Neutral,19.0%,58.8%,22.3%
1029,pretty sure stuff giving six foster kittens diarrhea neither dry kibble blue buf...,Negative,25.1%,0.3%,74.6%
1030,almonds wonderfully satisfying snack ever like salt vinegar chips like almonds a...,Positive,54.9%,30.6%,14.4%
1031,bit smaller softer sweeter classic fruit sours good think prefer href kinda...,Neutral,26.6%,38.0%,35.4%
1032,consistently one favorite cups coffee keurig bold light good regular cup coffee ...,Positive,77.4%,8.5%,14.2%
1033,drink tea times day taste rosehip sweetness sugar like fact helps detox usually ...,Neutral,25.7%,57.8%,16.4%
1034,black lab puppy loved favorite toy chewed time keeps dogs busy trying chew house...,Negative,28.8%,33.6%,37.6%
1035,like reviewers ordered item received incorrect order ordering received dinner va...,Negative,21.2%,12.9%,65.9%
1036,recommended vets ive seen healthy clean teeth dog loves cut half though eats who...,Neutral,40.1%,56.5%,3.4%
1037,im lover meyer lemons heard oil infused right stuff great salads well cooking...,Positive,59.8%,3.4%,36.7%
1038,still process narrowing personal preferences medium strong good thing get aftert...,Neutral,22.5%,65.6%,11.9%
1039,matcha came promptly plenty positivesbr color matcha looks nothing like photo de...,Neutral,28.7%,52.3%,19.0%
1040,didnt realize tea wasnt arriving promptly suggested company also noticed sent bo...,Neutral,13.1%,58.9%,28.0%
1041,looking fore decaf real coffee flavor bestbr tried plenty name carabou made hesi...,Neutral,5.3%,65.0%,29.7%
1042,br br bedtime tea yogi tea caffeinefree herbal tea relaxing natural sleep aid be...,Positive,58.8%,37.2%,3.9%
1043,love dubble bubble guess isnt surprise wonder product looks like pushed pasta ma...,Neutral,14.0%,60.1%,26.0%
1044,fine alternative wheat thins sweet taste course read ingredients could told pred...,Negative,13.6%,33.9%,52.6%
1045,hate protein shakes love drink flavor great caffeine total plus texture thicknes...,Neutral,28.3%,38.5%,33.2%
1046,think enjoy pinto beans better apache beans sweet taste dont like beans still us...,Positive,64.6%,0.2%,35.3%
1047,doubling retail price hoggish wish amazon exercised least control resellers like...,Positive,69.3%,10.8%,19.9%
1048,daughter loves candies used sell walmart longer carry christmas went online see ...,Negative,28.8%,9.3%,61.9%
1049,years ago quit smoking assume right thing however soon became hooked sour life s...,Positive,48.6%,7.5%,43.9%
1050,kcup pretty tasty get past weird smell brewing described bit funky coworkers tri...,Negative,5.8%,46.2%,47.9%
1051,omnivore loved beef jerky family would eat time vegan dont really feel need mimi...,Neutral,25.1%,37.5%,37.4%
1052,wasnt sure would taste initial hmm interesting mouth said yummy rest history mig...,Neutral,14.3%,49.7%,36.0%
1053,daughter loves stuff isnt chunky sometimes add cereal pieces chicken shell eat s...,Positive,71.0%,22.1%,6.9%
1054,one year old pit hyperactive bought today first bit disapionted kept getting tre...,Positive,61.7%,3.4%,34.9%
1055,specifically looked tomatoes recommendation friends superlative terms taste make...,Positive,58.6%,2.1%,39.3%
1056,skillet name popular seattle area food truck owned operated culinary institute a...,Negative,2.9%,46.4%,50.8%
1057,good spicy limey crunch factor really awful felt like teeth going break love nam...,Negative,20.7%,29.5%,49.8%
1058,herbal teas ive tried always taste like warm koolaid one perfect given price ive...,Positive,59.1%,40.4%,0.6%
1059,love coffeeso delicious brews perfectly keurig machine socially responsible orga...,Positive,49.5%,47.5%,3.0%
1060,cat picky also gets upset stomach varieties cat food however science diet adult ...,Positive,52.0%,4.7%,43.3%
1061,got canned beef amazon around last summer opened smells vile way giving dogs sur...,Negative,32.3%,24.7%,43.0%
1062,diamond almondsbr almonds good source magnesium one ounce contain approximately ...,Neutral,0.5%,55.2%,44.3%
1063,ordered many flavors limit sugar intake stronger taste cherry like use oatmeal m...,Positive,58.9%,37.9%,3.2%
1064,used soup crockpot recipe yummy add little corn starch end flavor great nice com...,Positive,46.0%,13.9%,40.0%
1065,great coffee organic shade grown fair trade deliciousat unbelievable price lot c...,Positive,63.9%,27.1%,9.1%
1066,looking everywhere olive oil rosemary potato chips since local italian grocer st...,Neutral,2.0%,94.7%,3.3%
1067,amazon listing nutritional info protein calories etc omitting actual list ingred...,Negative,23.0%,0.7%,76.4%
1068,product sells around pets stores still expensive buy treat bulk online...,Neutral,19.0%,79.1%,1.9%
1069,love anything pumpkin course coffee fit bill find one cannot go wrong green moun...,Neutral,32.3%,35.6%,32.2%
1070,ordered nephews college cooking asked id send home ordered instead order arrived...,Positive,59.3%,22.7%,18.0%
1071,like many drank way survey gins found one suited best tanqueray case wasnt last ...,Positive,61.9%,2.1%,36.0%
1072,regular swiss miss find acceptable option diabetics subscription nice able mug u...,Negative,12.7%,23.6%,63.7%
1073,since daughter months old pretty much eats prepared meals however sometimes dont...,Neutral,15.6%,61.8%,22.6%
1074,purchased special offer amazon received mail surprised small sliver seems size p...,Neutral,1.7%,71.2%,27.2%
1075,prefer ahmads plain blackcurrant tea burst much blackcurrant flavor please consi...,Negative,2.1%,0.8%,97.1%
1076,torani sugarfree syrups best business makes excellent flavor addition smoothies ...,Negative,28.4%,4.1%,67.5%
1077,excellent tasting product isnt bad even carbconscious folks one serving g sugars...,Negative,8.7%,14.7%,76.5%
1078,flavor excellent partner food allergies loves pancakes make mix prefers wheat co...,Negative,23.0%,18.7%,58.3%
1079,product equal better product market viewi really like way easy eggs turn tastebu...,Neutral,0.2%,51.2%,48.6%
1080,small dog many dental chews hard chew loses interest perfect give one every day ...,Neutral,32.0%,42.1%,25.9%
1081,love happy tot baby food line stores easily know im feeding baby food good far r...,Neutral,11.7%,47.1%,41.2%
1082,buy product oatmeal buddys homei tell much best tasting oatmeal ever hadbr br re...,Neutral,21.7%,46.8%,31.6%
1083,love douwe egberts coffee great flavor grind decaff product fine machine often o...,Neutral,13.6%,71.6%,14.8%
1084,ordered cans illy expresso received boxes ea packets happy camper packets suck d...,Positive,46.6%,41.4%,12.0%
1085,avid coffee fan drink ocassion use half packet perfect palate buy via hand guest...,Neutral,15.5%,75.8%,8.7%
1086,idea expecting valid testimony claims healthy product offered exceedingly small ...,Positive,81.2%,11.3%,7.5%
1087,ones really good cherries examplebr br cranberries taste like nothing impossible...,Neutral,27.5%,69.9%,2.5%
1088,wanted inexpensive way office try several roastsbr br grew new orleans drinking ...,Negative,18.8%,32.6%,48.7%
1089,favorite flavor drink morning usually workout great hydration love seeds makes f...,Positive,62.8%,1.1%,36.1%
1090,experience extra virgin good slightly lacking flavor fruitiness sicilian also fr...,Positive,65.1%,34.4%,0.5%
1091,ginger isnt kind thing eat regularly big doses like flavor one sip drink mixture...,Negative,0.4%,32.7%,66.9%
1092,wonderful jerky full flavor overly dry like jerky get gas stations would recomme...,Positive,58.2%,27.7%,14.0%
1093,dog pedigree hip joint past couple years longer offered subscribe save thought w...,Positive,52.5%,1.9%,45.6%
1094,orange spice tea fabulous needs sweetening like treat...,Negative,17.3%,22.8%,59.8%
1095,love stash mint green white teas favorite variation much better ice warm think i...,Negative,25.0%,7.0%,68.0%
1096,unlike people prefer weak coffee milder roast burnt stuff coffee houses make req...,Neutral,20.9%,56.3%,22.8%
1097,young adult male yellow lab ive year rescue gets lots exercise playing ball many...,Negative,46.2%,1.3%,52.5%
1098,fantastic delicious workout probably best electrolyte replenishing drink market ...,Positive,54.3%,10.3%,35.4%
1099,maple syrup delicious prefer grade b robust pity price keeps rising ill probably...,Positive,53.1%,12.7%,34.2%
1100,emerald cocoa roast almonds almonds roasted cocoa rather covered chocolate makes...,Negative,24.0%,29.0%,47.0%
1101,yummylarge fresh roasted flavor touch sea saltmust eaten half first bag upon ope...,Neutral,36.1%,52.3%,11.6%
1102,best chocolate chips ive ever tasted life yes pricey doesnt matter last forever ...,Neutral,32.8%,50.0%,17.2%
1103,ordered clear scalp hair beauty hoping would control flakes shampoo smells great...,Neutral,8.3%,70.6%,21.1%
1104,great price bag sticks twigs purchasing health food stores per bag amazon offers...,Neutral,9.7%,57.8%,32.5%
1105,weve tried number different types treats dog remained steadfastly indifferent ge...,Positive,70.7%,26.0%,3.3%
1106,dont fooled appearancesthe chocolate taste nuts subtle look coated melted chocol...,Neutral,32.6%,34.4%,32.9%
1107,great popcorn great price learned lesson well dont buy oz bags stove top hand cr...,Neutral,31.1%,52.4%,16.5%
1108,awesome problem would limiting oneself single serving husband gluten free diet f...,Negative,5.0%,41.8%,53.3%
1109,new recipe horrible watery almost like stage meal went g protein g veggie pouche...,Neutral,34.4%,43.7%,21.9%
1110,thought going multiple boxes pictures appears product small pouches pay less box...,Negative,19.9%,26.0%,54.1%
1111,wing time best buffalo wing sauce youll ever get garlic favorite thought medium ...,Negative,24.3%,36.0%,39.7%
1112,bought sea salt grinder back local super store flavor good grinder works well ev...,Negative,9.6%,1.0%,89.4%
1113,bought online couldnt find anywhere stores packets easy use keep several purse t...,Negative,39.0%,12.8%,48.2%
1114,cereal filled tasty ingridients better tasting cereals price used rice milk note...,Negative,12.0%,35.9%,52.0%
1115,initial food cost maybe seem steep ingridients superior quality like fact made s...,Positive,59.1%,3.3%,37.6%
1116,dont use tea dieting natural cleanse keep body free harmful toxins effective use...,Positive,57.7%,14.8%,27.5%
1117,ive run across old recipes call powdered vanilla googled powdered vanilla came c...,Neutral,25.7%,39.6%,34.8%
1118,gimborn liver treats far dogs favorite treat wonderful training reward good qual...,Positive,80.1%,18.6%,1.3%
1119,good fresh lemon close best part convenience open cap squeeze also perfect size ...,Negative,15.2%,8.6%,76.2%
1120,sorry grocery stores around dont sell peaches since make peach rolls every year ...,Negative,31.4%,22.2%,46.3%
1121,woo hoo signed subscribe save getting bought couple different kinds yesterday so...,Positive,74.0%,14.5%,11.5%
1122,looking actual organic dog food newmans way go accidently purchased thinking cla...,Negative,31.4%,20.7%,48.0%
1123,dachshund nola loves treats theyre perfect size cut half training shes lbs goes ...,Positive,51.6%,17.4%,31.0%
1124,dog enjoys hiding eating biscuits gave crunch clean stars dont seem different do...,Positive,37.9%,36.3%,25.8%
1125,kids really liked good flavor good value subscription could packed little better...,Negative,2.8%,16.5%,80.7%
1126,first time weve tings friend told us since since ended per bag gave shot daughte...,Negative,9.3%,20.3%,70.4%
1127,get past color water fine tastes normal fulvic acid many good properties really ...,Positive,43.7%,41.9%,14.4%
1128,cats years old eaten dry food entire life would give wet pouches great treat how...,Neutral,5.3%,69.7%,25.0%
1129,like strong flavorful coffee try yummy vey good fact best coffee used keurig...,Neutral,13.3%,78.3%,8.4%
1130,like many reviewers grew nabisco fig newtons always ready try something new well...,Neutral,28.2%,71.1%,0.8%
1131,best part organic free trade batch didnt lovely jasmine flavor others important ...,Negative,1.5%,43.7%,54.8%
1132,thought supposed healthy soup option come attention shopping soup brands ingredi...,Negative,2.3%,2.7%,95.0%
1133,seth greenbergs brownie crunch sooooo good put cutup banana dish frozen yogurt s...,Negative,27.5%,33.3%,39.2%
1134,light crispy supertasty disappointed grocer doesnt carry flavors guess buy varie...,Neutral,29.7%,37.6%,32.8%
1135,href best bouqueta bouquet sent mother mothers day arrived time excellent condit...,Positive,69.0%,5.8%,25.3%
1136,came across soda entirely accident went friends peruvian restaurant didnt much o...,Positive,57.9%,5.6%,36.5%
1137,ordered biscuits naive assumptions similar french original way donated charity...,Neutral,8.3%,83.0%,8.6%
