,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
4949,nespresso c use ristretto capsules ordered like concept ethical coffee huge disa...,Negative,48.6%,2.3%,49.1%
4950,wonderful raisons thanks plump fresh lbs much better grocery order next year...,Positive,35.4%,33.9%,30.7%
4951,snickers always beenand always one favorite candies really like bite sized mini ...,Negative,34.9%,10.1%,55.0%
4952,culinary teas gets customer service got tea earlier expectedit fresh wa v floral...,Neutral,1.1%,69.8%,29.1%
4953,got wasabi soy flavor weeks ago tastes right last week got bed dizzy thought hey...,Negative,10.1%,34.8%,55.1%
4954,odered love got box bags different contents used wouldnt buy like picture added ...,Negative,13.1%,6.8%,80.1%
4955,halfcaf coffee great taste melita grinderbrewer great job delivery fast...,Neutral,28.0%,41.8%,30.2%
4956,bought amazing babycook provide healthy meals daughter started using realized st...,Positive,50.8%,42.1%,7.1%
4957,although always nice find gluten free products available suffer celiac disease a...,Negative,2.2%,0.8%,96.9%
4958,bought curiosity hearing buzz internet took chances bought packages thesebr fant...,Negative,23.6%,27.7%,48.7%
4959,whoa label says light nongreasy actually worse dumping olive oil hair would prob...,Neutral,15.2%,70.3%,14.4%
4960,wanted avoid sugar ordered like add dried fruit cereal close tasteless purchased...,Negative,6.8%,10.7%,82.5%
4961,dog would anything treats looked around brandsbut best...,Negative,13.3%,5.1%,81.5%
4962,gf pretzels cookies etc trying substitutes wheat products always taste pretzels ...,Positive,76.6%,18.4%,5.0%
4963,coffee drinker enjoy decaffeinatedpreferably french roastthis coffee big disappo...,Positive,48.1%,41.1%,10.8%
4964,halo salmon treats great dogs allergies gluten freeno meatallergies wish treats ...,Neutral,37.4%,53.7%,8.9%
4965,nothing bad say actually similar flavor ive tasted breastmilk thats good guess d...,Negative,10.0%,5.8%,84.2%
4966,like hot candy best sugar free treat available like even better dessert gums lik...,Positive,70.0%,25.4%,4.7%
4967,great quality flavoured peach black tea love used strictly buy bentleysbr stoppe...,Positive,48.7%,26.5%,24.8%
4968,transitioned organic feel difference make switch worth owe...,Positive,93.4%,0.8%,5.8%
4969,love crackers perfect size perfect ingredients perfect texture make great hors d...,Positive,84.3%,3.7%,12.0%
4970,paid price asking plus shipping would disappointed enough good solid candy box s...,Positive,79.4%,11.5%,9.1%
4971,best things since sliced bread giving dogs treat quite awhile dogs love reasonab...,Negative,1.3%,9.8%,88.9%
4972,best chips eaten popped instead fried baked makes easier weight columnbr br love...,Positive,79.4%,10.7%,9.9%
4973,bought quick low calorie around lunch work soup isnt bad tasting fact interestin...,Neutral,12.0%,68.9%,19.1%
4974,bought effort help quit smoking watching weight also id looking smaller honey co...,Negative,28.6%,22.7%,48.6%
4975,product whether make small medium large cup smells extremely good yet go drink t...,Negative,14.9%,20.3%,64.8%
4976,tasted ca wanted chose look good ole amazon tasty hot low fat bit high sodium sa...,Negative,3.5%,14.1%,82.4%
4977,flavorful granola mix excellent dried cranberries even gluten eating folks enjoy...,Negative,23.5%,10.4%,66.1%
4978,purchased cat food careful research different wet cat food available finally dec...,Neutral,33.9%,59.4%,6.8%
4979,lived europe would purchase streetside kiosks good however age greatness leaving...,Neutral,36.4%,60.5%,3.1%
4980,agree reviewers indicated good quality productbr br capsules smell fresh vinegar...,Negative,18.6%,3.9%,77.5%
4981,greatly anticipated trying recommendation new zealand friends definitely say dis...,Negative,14.6%,20.0%,65.5%
4982,son started minute got neat see interested...,Neutral,3.8%,94.0%,2.2%
4983,blue chips great dip salsa also eaten alone snack side chips complement meal...,Neutral,35.7%,44.6%,19.7%
4984,first impression stashs green chai tea isnt bitter like green teas spices also m...,Positive,41.8%,19.6%,38.6%
4985,nearly impossible find jerky anywhere isnt basted sugar dextrose thing glad find...,Neutral,1.4%,66.7%,31.9%
4986,product came timely manner seems perfect shape great price concern seal didnt ac...,Negative,29.7%,17.0%,53.3%
4987,tea really apple cinnamon tea spice flavor included pretty mild tasty enough wis...,Neutral,15.5%,55.6%,28.9%
4988,whipped box ghiradelli dark chocolate brownie mix yesterday pleasedbr br substit...,Negative,40.6%,3.9%,55.5%
4989,owned keurig since christmas sampled many kcups cup sampler packs tasting timoth...,Negative,32.8%,20.3%,46.9%
4990,chips right amount crunch enjoy taste chips consistent fairly even distribution ...,Positive,49.9%,31.3%,18.8%
4991,nice flavour almost malted milk balls far less guilt im kashi bar fan one also n...,Negative,38.1%,10.7%,51.2%
4992,tastes great love coffee even used pancakes really doesnt give spike blood sugar...,Neutral,15.2%,46.2%,38.6%
4993,much sugar foods daily eat comes time control sugar intake seem fair give like d...,Neutral,13.3%,48.3%,38.4%
4994,larabars recommended great gluten free snack know need alter food expectations s...,Neutral,7.3%,49.0%,43.7%
4995,character consistency think best way way describe say mid way regular corn torti...,Negative,45.7%,6.7%,47.6%
4996,often leave product review im happy fresh ground taste coffee environmentally fr...,Negative,16.4%,20.7%,62.8%
4997,cereal pretty good taste healthy cereal subtle hint brown sugar really good also...,Positive,40.2%,27.0%,32.7%
4998,newton fruit thins part cracker part cookie sweet natural taste good texture per...,Positive,57.1%,2.1%,40.9%
4999,delicious cookies would highly recommend people like tangy ginger flavored cooki...,Neutral,15.4%,57.0%,27.5%
5000,absolute favorite tea minty overwhelming good price since big bag came packaged ...,Negative,1.3%,13.8%,84.9%
5001,christmas isnt complete without party mix mom started tradition recipe greataunt...,Neutral,19.7%,75.0%,5.3%
5002,havent tasted dogs love made usa...,Positive,51.4%,41.4%,7.2%
5003,sometimes want coffee caffeinebr decided try box cups pleasantly rewarded review...,Positive,64.9%,29.6%,5.5%
5004,could find cat version purebites appears thing larger pieces add water mix slipp...,Positive,35.2%,32.8%,32.0%
5005,complaints considering paid less serving great quick snack keep office busy days...,Negative,2.6%,34.0%,63.4%
5006,began purchasing bromleys estate blend tea renys maine red rose went flat palate...,Negative,23.6%,3.4%,73.0%
5007,took foster cat almost one year ago tried almost everything rid diarrhea vets un...,Neutral,0.9%,57.9%,41.2%
5008,love passion fruit juice good product bottle makes gallon low sugar low glycemic...,Negative,18.0%,8.5%,73.5%
5009,agree reviewer amazon require price lowered pull listing ridiculously high price...,Negative,6.6%,33.6%,59.8%
5010,big dogs love treats everlasting balls golden retriever make one treat last days...,Positive,64.1%,31.6%,4.3%
5011,goji berries fresh taste goodbr use brew tea eat handful snack...,Neutral,19.7%,64.6%,15.6%
5012,wanted desperately like sauce jar smells tastes awful cut sour cream didnt help ...,Negative,23.5%,33.5%,43.0%
5013,great bratwurst breakfast sausages salami cheddar cheese sandwiches etc even tho...,Negative,22.0%,10.2%,67.8%
5014,good flavor expected wafers could serve dieting friends reception boxes crumbles...,Positive,49.3%,6.9%,43.7%
5015,far buttered popcorn goes youd expect nothing special taste wise taste anything ...,Negative,12.7%,39.7%,47.6%
5016,im sold using peanut butter substitute like pbj sandwich dipping crackers celery...,Negative,3.4%,38.5%,58.1%
5017,anyone child refuses veggies try great combo fruit veggies easy feed older babie...,Negative,23.2%,9.8%,67.0%
5018,got part party favor rainbow birthday party havent actually tasted lollipops cut...,Positive,91.4%,5.9%,2.7%
5019,think seller amazon share blame item purchased gift arriving totally unpresentab...,Positive,83.5%,14.4%,2.1%
5020,dog wouldnt eat neither would daughters two dogs dont know flavor didnt like...,Neutral,22.7%,68.3%,9.0%
5021,baby loves sweet potatoes essentially mix food sweet potatoes eat case could goo...,Neutral,12.2%,70.6%,17.2%
5022,love chia gotten two different packages brand rancid expiration dates year away ...,Positive,87.8%,10.9%,1.3%
5023,sampler pack really wasnt good couldnt taste hazelnut flavor bitter aftertaste w...,Neutral,1.4%,86.9%,11.7%
5024,packaged nicely didnt take long ship plant nice super green container also super...,Neutral,4.3%,84.5%,11.2%
5025,progresso rich hearty chicken homestyle noodles contains following nutrition inf...,Positive,37.2%,31.9%,31.0%
5026,quaker soft baked oatmeal raisin cookies taste closest homebaked cookies others ...,Positive,69.7%,28.2%,2.1%
5027,amazons suggestion star review like said gave star review spicy thai chips chips...,Neutral,22.6%,68.8%,8.6%
5028,jelly beans tasted like real thing kids fun tasting different disgusting flavors...,Neutral,16.3%,47.6%,36.1%
5029,mini cheesecakes scrumptious great addition guests require gluten free dessert m...,Negative,28.0%,8.4%,63.6%
5030,boy make sad see many people leaving comments shipping problems reviews rating p...,Positive,68.1%,20.9%,11.0%
5031,absolutely love lawrys baja chipotle marinade use variety dishes yes title says ...,Negative,20.9%,26.3%,52.7%
5032,love love love unfrosted brown sugar cinnamon pop tarts unfrosted cant stand tha...,Positive,50.9%,7.7%,41.4%
5033,opportunity sample evaluate different flavors taco bells bottled sauces jalapeno...,Positive,46.3%,32.7%,21.1%
5034,best wild rice blend market comes perfectly every time whether rice cooker stove...,Negative,0.9%,12.8%,86.3%
5035,first time trying sf coffee found good coffee reasonable taste yes coffee smells...,Negative,7.1%,40.5%,52.4%
5036,love coffee flavor greatbr coffee arrived quickly packaged wellbr flavor hard fi...,Positive,59.6%,32.8%,7.6%
5037,bought husband new coffee drinker wasnt really sure liked loves two flavors real...,Positive,56.8%,37.2%,6.0%
5038,tea ok flavor asbr earthy teavanabr blend much stronger greaterbr fragrance mola...,Positive,62.4%,2.0%,35.7%
5039,got popper bought well west bend popcorn tried louana popcorn oil bars much pref...,Negative,11.1%,36.9%,52.0%
5040,sure understand product got harsh reviews bought love sweet potatoes cant keep c...,Neutral,19.5%,60.3%,20.1%
5041,gross way describe pasta horrible many pasta options waste money taste buds...,Negative,13.5%,17.6%,69.0%
5042,isnt going good products amazon good compromise price taste...,Positive,58.2%,15.5%,26.4%
5043,husband celiac disease one thing missed oatmeal littlebr bland told little honey...,Neutral,13.9%,68.4%,17.7%
5044,flavor canned expresso better starbucks onebr thus calories instead product desc...,Neutral,28.7%,46.8%,24.5%
5045,process pushing water certain amount pressure pods produces flavorful frothy cup...,Neutral,41.0%,57.6%,1.5%
5046,mojito mocktail flavor crystal light light minty treat sipable flavor mild power...,Negative,5.9%,1.5%,92.5%
5047,live southern oregon get cans daily price get additional buying case cans good d...,Neutral,28.8%,51.1%,20.1%
5048,found little farmers market ive hooked ever since theyre addictive almost never ...,Positive,42.0%,35.3%,22.6%
5049,found prima taste rendang curry absolutely delicious taste authentic rich spices...,Negative,26.3%,1.2%,72.4%
5050,mothers favorite flavor chocolate mine butterscotch lollypops extremely deliciou...,Negative,13.5%,20.0%,66.5%
5051,bought boss liked particularly unusual stuff included makes little bit better gi...,Neutral,14.9%,75.4%,9.7%
5052,tea tastes nasty maybe dont like sage made gag...,Negative,32.5%,6.2%,61.3%
5053,take one two time kids fight addicted snack size slim jims original always best...,Positive,51.0%,6.9%,42.0%
5054,im happy terrys chocolate oranges sons head straight stockings christmas morning...,Negative,12.6%,12.1%,75.3%
5055,positively delicious cookies eversmooth milk chocolate covering meringue biscuit...,Positive,53.3%,41.9%,4.8%
5056,product well presented well desgned teas good srongly recommend sure love even t...,Positive,62.5%,11.8%,25.8%
5057,item came perfect condition time easy make instructions large quantity college s...,Positive,39.6%,38.4%,22.0%
5058,im sure flavor isnt everyone enjoy coffee sweeter flavorful side enjoy would cal...,Neutral,1.4%,50.0%,48.6%
5059,big meat eater love jerky tasted like remembered granny used stuff white bread a...,Positive,64.7%,31.5%,3.8%
5060,cats love makes happy price bit less given options get pay...,Negative,14.8%,16.7%,68.5%
5061,like convenient sized packaging ritz crackers ritz crackers either like dont goo...,Negative,23.6%,30.1%,46.3%
5062,cat cannot get enough food must taste greatbr br regular diet gained lbs year ve...,Neutral,36.5%,40.3%,23.2%
5063,pretty good soy sauce meijers recently started carrying wanted try much better k...,Neutral,25.5%,47.1%,27.3%
5064,use chicken bouillon lot home cooked mealsbr finding organic bouillon oft times ...,Neutral,12.4%,45.8%,41.8%
5065,excellent truly delicious fresh tasting wellbr buy brand sauce give try youll lo...,Negative,2.0%,0.7%,97.3%
5066,soft smooth texture little one devours oneit one best meatveg dinners found...,Negative,9.9%,36.6%,53.5%
5067,tea fantastic everyone gave christmas also loved tea...,Neutral,27.5%,61.1%,11.4%
5068,looking mag citrate fastacting form didnt taste terrible found product history h...,Neutral,27.1%,46.8%,26.1%
5069,senseo coffee system excellent way brew good cup single serve coffee quickly tak...,Negative,1.5%,34.0%,64.6%
5070,springer spaniel ate right away malamute sniffed lot finally ate ill stick happy...,Positive,44.7%,33.7%,21.6%
5071,love something pantry take munch without guiltthis exactly kind snackbr br best ...,Neutral,41.7%,44.4%,13.9%
5072,twentysix year old female im short metabolism isnt worse best looking healthier ...,Negative,9.6%,4.1%,86.3%
5073,mixer light lime flavor chemical taste aftertaste best gold tequila bottle attra...,Positive,52.9%,40.9%,6.2%
5074,normally buy del monte whole green beans grocery store available via subscribe s...,Negative,20.6%,3.9%,75.5%
5075,originally started taking muscle spasmstwitching seemed take care matter hours t...,Negative,12.0%,14.9%,73.0%
5076,love lavender earl grey wanted give try okay still prefer evolutions lavender ea...,Neutral,16.6%,70.8%,12.7%
5077,bought daughter tried wanted didnt know get nearby figured id get case let every...,Negative,42.8%,0.9%,56.3%
5078,keep car case im starting feel tired chug one taste best job...,Neutral,10.7%,81.8%,7.5%
5079,best tasting hordes noodles ive tried name tried ive eating particular one proba...,Neutral,36.1%,39.5%,24.4%
5080,bought add ginger ale soda give ginger taste took little find right amount add g...,Positive,51.1%,8.6%,40.3%
5081,dog loves chew toys thought advertising bottle bulletproof meant made rest indes...,Neutral,1.8%,55.7%,42.5%
5082,researched dog food couple weeks deciding would best bet feel lot attention give...,Negative,39.9%,16.3%,43.9%
5083,admit dog spoiled dressed pink riding around shopping cart spoiled loved adored ...,Positive,50.1%,4.5%,45.5%
5084,bit apprehensive purchasing banana beet blueberry flavor reading several reviews...,Neutral,44.3%,49.3%,6.4%
5085,cat pretty picky tried every kind naturalgrain freeexpensive wet cat food typica...,Positive,52.4%,25.7%,21.9%
5086,dogs love food fed year old german shepard three year old american pit bull terr...,Neutral,6.5%,58.7%,34.8%
5087,splurged got thanksgiving dinner coffee expecting really excellent flavor found ...,Negative,28.9%,11.4%,59.7%
5088,gave product four one reason theres lot food pouch br kids love two pretty picky...,Positive,59.4%,23.3%,17.3%
5089,went major coffee house paid venti gave away white mocha shots buy coffee coffee...,Positive,51.5%,27.9%,20.6%
5090,young ago sardines didnt come three flat small fish young sprat best tiny packed...,Negative,2.2%,29.4%,68.5%
5091,purchased christmas love dont believe complainers bright noisy puton nightstand ...,Negative,12.4%,18.0%,69.6%
5092,drinking tea usually helps relax anyways cant speak bedtime abilities however en...,Negative,37.4%,24.7%,37.9%
5093,metromint water chocolatemint flavor terrific refreshing especially warm weather...,Neutral,12.6%,68.5%,18.8%
5094,product description says ounces aka gallon image enlarged shows litter bottlebr ...,Positive,53.8%,39.4%,6.8%
5095,normally prefer plain chips even though dont eat often chili lime pretty good gr...,Negative,18.7%,10.1%,71.3%
5096,get carrot apple pear mango flavor plum organics instead overwhelmingly sweet li...,Positive,70.8%,28.3%,0.9%
5097,water nice much healthier alternative sometimes nice extra kick plain water vita...,Positive,75.4%,0.6%,24.0%
5098,liked everything chip except salty accomodated making gracamole dips salt free b...,Neutral,11.0%,50.1%,38.9%
5099,excited get taste nothing like remembered cookies tasted burnt color lot darker ...,Positive,78.2%,2.4%,19.5%
5100,drink delicious id chocolate chai thought id try vanilla chai though vanilla tas...,Positive,74.7%,21.7%,3.6%
5101,brought times first bottle received seems mix well also taste good next bottles ...,Positive,47.5%,44.4%,8.1%
5102,servings boil cups water salt like add rds cup oat cereal runny first youre prep...,Negative,26.4%,19.4%,54.2%
5103,pleased everything tried blue buffalo line bars particularly pleasing puppy geri...,Positive,60.0%,3.6%,36.4%
5104,cornflakes tasty cannot eat without negative reaction reading reviews product no...,Positive,48.5%,35.3%,16.2%
5105,packets easy use mess little left unpopped great flavor great northern become on...,Negative,38.4%,11.3%,50.3%
5106,love snack pop chips allowed still get crunch calories bag ive lost pounds makin...,Negative,33.4%,24.0%,42.6%
5107,syrup really fantastic much kids regularly asking breakfast dinner may enjoy wee...,Neutral,35.0%,59.6%,5.4%
5108,know really thirsty water cutting itbr br juice sweet thickbr sport drinks disgu...,Positive,60.1%,26.7%,13.2%
5109,enjoy delicate flavor crunchy bite superb taste jules destrooper cookies choice ...,Neutral,31.8%,36.0%,32.1%
5110,several brands misocup soup market grocery stores similar namesbr br tried sever...,Neutral,10.5%,46.2%,43.3%
5111,definitely good seagrams ginger taste towards nd half though started acquire acc...,Negative,24.7%,20.0%,55.4%
5112,celestial seasonings herb tea mint magic tea bags pure refreshment hot coldbr br...,Positive,57.7%,32.2%,10.1%
5113,five solstice gum favorite gum time even dentist impressed started less less cav...,Negative,2.8%,47.3%,49.9%
5114,newmans beef organic beef never fails pooch miniature poodle never fails gobble ...,Positive,37.0%,31.3%,31.6%
5115,item delicious used put sugar rice krispies would always undersugar oversugar pu...,Neutral,35.3%,40.8%,23.9%
5116,good enough king sweden box indicatesthey good enough also flavors good price ri...,Negative,28.3%,24.1%,47.6%
5117,year old llasa apso picky treats buy many different kinds treats wont go near do...,Neutral,14.6%,59.7%,25.7%
5118,best wafers ever tasted sweet tooth traveled world tried many sweets nothing com...,Negative,44.4%,0.0%,55.5%
5119,first kcups work discovered although variety choose always went van houtte frenc...,Negative,15.6%,40.3%,44.0%
5120,favorite coffee chicory products strong smooth tasting bitter friends natives ne...,Negative,38.4%,5.2%,56.4%
5121,thought id give weeks gave review teabr st week drinking skin actually broke mor...,Positive,79.5%,3.8%,16.8%
5122,love snack truly feel must cheating somehow flavors delicious variety great dont...,Positive,55.4%,43.7%,1.0%
5123,bought best little gal ever pleasure knowing taz never seen young figured shed g...,Neutral,28.2%,48.7%,23.1%
5124,purchased found could buy local safeway half paid thought getting little bottles...,Neutral,42.2%,46.0%,11.8%
5125,never liked green tea knew good drinking lot yrs grew living western usa neighbo...,Positive,53.3%,24.3%,22.4%
5126,month old daughter would spit vomit minutes hour bottle doctor changed formula e...,Negative,3.3%,29.0%,67.7%
5127,love coffee good rich smooth taste also good coffee smell every morning well wor...,Positive,66.2%,23.3%,10.5%
5128,plain old cheese sandwith thats take good sharp grated cheddar grated monterey j...,Positive,62.8%,19.9%,17.3%
5129,makes reasonably good cup coffeelacks smoothness brands like strong brew may lik...,Negative,24.9%,15.7%,59.4%
5130,one favorite coffees really like eating chocolate truffle also overwhelming choc...,Positive,53.2%,35.4%,11.5%
5131,ran safeway doesnt carry anymore im buying good stuff use grilling okra kebabs t...,Negative,18.3%,36.8%,44.9%
5132,everyone gave mug great review failed mention holes big leaves get tea disappoin...,Negative,1.2%,46.7%,52.1%
5133,know shortbread frequently boring pattersons nice finger style royal edinburgh b...,Neutral,2.3%,77.0%,20.7%
5134,brought one small package canidea oversea agent weeks ago puppy tried french bra...,Positive,73.9%,7.5%,18.6%
5135,tea gets diluted ice ends weak good iced tea great hot tea though...,Neutral,36.9%,53.5%,9.6%
5136,using year tried berry orange grape lemon lime grew tired berry lemon lime much ...,Positive,61.6%,15.4%,23.1%
5137,wife tried night made stirfried veggies meat took care preparing saucebr br oh n...,Negative,0.2%,9.8%,90.1%
5138,initally ordered product niece school sale first time nanny used brownie mix yum...,Positive,68.2%,12.6%,19.2%
5139,another brand cinammon rugalach carried amazon much better tasting brand maybe p...,Neutral,15.0%,54.2%,30.8%
5140,potato chipaddicted dont enjoy potato chips also enjoy type potato product produ...,Neutral,10.5%,77.9%,11.6%
5141,dont hesitate buy fantastic coffee dont let price fool elated see fog chaser pac...,Negative,28.6%,33.2%,38.3%
5142,samoas favorite girl scout cookies however comes minimal nutritional benefits go...,Negative,34.1%,6.6%,59.3%
5143,gum arrived time tasted really good last next year really think people buy hard ...,Neutral,36.3%,56.7%,7.0%
5144,adding stars many star reviews border collie fussy siberian huskie love treats u...,Negative,3.3%,28.2%,68.5%
5145,think likely worlds perfect cookies wonderfully delicate crispy enough buttery i...,Neutral,30.9%,43.4%,25.6%
5146,im currently cup coffee right breakfast table eating relaxed saturday morning ta...,Neutral,29.5%,41.2%,29.3%
5147,like highfiber cereal better original bran cereals dry stringy taste even though...,Neutral,25.6%,45.5%,28.8%
5148,always get white chocolate mixed nuts tastes fantastic sale gave try terrible ta...,Negative,1.2%,3.1%,95.7%
5149,dogs love treats problems ive encountered left powder bottom sizes uniform many ...,Positive,66.0%,14.2%,19.8%
5150,know little salt wanted upgrade average table salt happy enjoy using food also m...,Negative,32.5%,19.1%,48.5%
5151,tried kcups came keurig christmas far best breakfast blend strong weak right use...,Positive,42.6%,15.6%,41.9%
5152,product stars tastes pretty good diet food actually one favorite nutrisystem foo...,Neutral,12.8%,86.1%,1.0%
5153,pound labterrier mix loves food used mixin kibble everything arrived vendor tip ...,Positive,81.5%,10.8%,7.7%
5154,receiving shock hypercaffeinated coffee subscription program amazon months love ...,Positive,54.8%,20.9%,24.3%
5155,tried almost every flavor celestials holiday teas amazingbr one warm cookie flav...,Positive,41.8%,39.5%,18.7%
5156,bought rawhide several reviewers said dogs worked long time unfortunately case l...,Negative,27.8%,17.0%,55.2%
5157,mom gave ginger candies first trimester pregnant second baby liked taste pleasan...,Negative,2.2%,14.9%,82.9%
5158,dog cotton aggressive chewer could chew way anything within seconds shes looking...,Negative,6.3%,4.9%,88.8%
5159,visit santa fe craved blue corn pancakes pine nuts thanks delicious wholesome pr...,Negative,2.4%,34.9%,62.7%
5160,im big fan lavazza usually drink espresso home decided buy drip coffee office tr...,Neutral,44.6%,51.7%,3.7%
5161,play lot tennis summer good amount lifting weather gets colder turning started n...,Negative,21.9%,20.3%,57.9%
5162,upon opening package get immediate pleasing scent ginger would great air freshen...,Neutral,28.5%,43.5%,28.0%
5163,bought several different brands pig ears seem use tanning process pig ears get s...,Neutral,5.3%,56.5%,38.2%
5164,grew scotland remember drinking cups tea day even child family came us tasted li...,Positive,37.8%,26.3%,35.8%
5165,love soup sodium content agree bit high great healthy filling convenient lunch t...,Neutral,4.4%,73.0%,22.7%
5166,like new flavor great job love health benefits receive chia seeds helps power th...,Negative,20.5%,12.7%,66.8%
5167,tastes good apparently cat thinks hes constantly poking furry face around every ...,Negative,22.7%,9.0%,68.3%
5168,purchased product husband birthday gift early december loves baklawaand dont bak...,Negative,45.3%,2.2%,52.5%
5169,best popcorn ever eaten much better ricos brand getting sams club thanks...,Negative,32.7%,31.4%,35.9%
5170,drink lot iced tea best ive buying...,Negative,28.1%,25.4%,46.5%
5171,best organic raisins tried datebr sealed fresh soft moist burst flavoreachbr eve...,Negative,34.1%,18.9%,47.0%
5172,first tried sunny bears grocery store trip small town northern california one ta...,Negative,7.4%,21.3%,71.3%
5173,brought several trees died within months lot experience bonsai orchids years old...,Positive,50.0%,23.4%,26.6%
5174,dark soy refers course color flavor product cannot beat useful szechuan cooking ...,Positive,47.9%,16.4%,35.7%
5175,im value shopper heart honesty bought wine kit primarily based price figured shi...,Positive,61.5%,32.4%,6.1%
5176,starred im asking questionbr br anyone know made farmed salmon wild dont want do...,Positive,58.4%,28.7%,12.9%
5177,cant find hansen area happy order amazon get high quality soda high fructose cor...,Positive,61.4%,5.9%,32.7%
5178,actually im rd jar coconut oil use cooking coffee skin fact oil cleared problems...,Positive,59.3%,34.2%,6.4%
5179,aromatic flavorful slight hint lemon lemon grass lemon balm great green tea...,Neutral,29.4%,66.6%,4.0%
5180,always liked lavazza bitter aftertaste find good esspresso maker regular drip de...,Negative,30.2%,22.6%,47.2%
5181,bought maxwell house slow roast coffee years could longer buy locally started bu...,Negative,23.3%,4.0%,72.7%
5182,product great great taste fantastic skin moisturizer wife says use regularly...,Negative,44.6%,10.3%,45.0%
5183,purchased two boxes stale hard inedible couldnt find expiration date cant say su...,Negative,32.6%,8.8%,58.6%
5184,didnt care blend extra bold weak taste hard explain bold extra bold dark rich ta...,Negative,16.3%,37.2%,46.4%
5185,going bake use chocolate use cheap brands enrich end productbr gives item bake r...,Negative,25.1%,36.3%,38.7%
5186,seedless raspberry preserves polaner delicious easy spread onto bread toast crac...,Negative,13.6%,27.2%,59.3%
5187,exactyl searching year availabe local grocery store discontinued item arrived ti...,Neutral,24.4%,64.4%,11.2%
5188,usually order organic accident still good everything good bobs...,Positive,57.4%,6.6%,35.9%
5189,due respect amazon reviewer book dog lover cant imagine cat would enjoy treats t...,Negative,33.8%,13.1%,53.0%
5190,cat worst food allergies way dealt vomiting almost daily basis getting special f...,Positive,82.1%,9.1%,8.8%
5191,remember themthe bomb doesnt expire til october recevied boxes little steep buck...,Positive,63.3%,3.9%,32.8%
5192,product good everything cappuccino french vanilla thing hot drink bought knowing...,Positive,83.2%,9.4%,7.4%
5193,love one hard find ramens dont meat making reviews making hungry wanting order l...,Neutral,9.8%,66.2%,24.0%
5194,read one reviews stated supplement changed life immediately excited supplement c...,Neutral,2.4%,55.7%,42.0%
5195,hard time finding loose tea locally able order favorite lady grey tea amazon con...,Negative,12.2%,6.8%,80.9%
5196,kid loves school amazon allowed purchase without minimum like albanese website g...,Negative,27.9%,6.8%,65.3%
5197,straws filled lemon flavored honey love taste great easy take use work convenien...,Neutral,9.4%,69.0%,21.5%
5198,word runa guayuas cool peppermint favorite flavor taste simple delicious without...,Positive,48.6%,15.5%,35.9%
5199,wasnt sure dogs would able figure got right away loved taste would kept licking ...,Neutral,7.0%,87.8%,5.2%
5200,ordered autum supply alpine apple cider sunday afternoonreceived monday morning ...,Neutral,35.0%,61.8%,3.1%
5201,absolutely thrilled package double order arrived pounds cashews excellent qualit...,Positive,62.6%,19.6%,17.8%
5202,love coffee night really miss dont decaff...,Positive,93.3%,3.6%,3.1%
5203,drinking samu would never thought buying coconut water samu refreshing made beli...,Positive,86.9%,9.6%,3.5%
5204,easiest way purchase quality pine nuts reasonable price pine nuts delievered gre...,Positive,65.8%,0.4%,33.8%
5205,im always lookout products lowor salt menieres disase requires extremely low sod...,Negative,24.2%,17.0%,58.8%
5206,moms favorite gluten free cookies ordering amazon economical way purchase...,Positive,51.6%,18.0%,30.4%
5207,classic smarties real thing small sweet tarts smarties love babies bit much than...,Neutral,30.5%,54.3%,15.3%
5208,favorite coconut oil eating moisturizing unrefined virgin coconut oil great coco...,Neutral,8.5%,88.0%,3.4%
5209,wife coffee drinker family longtime fanatic bean days keeps large folgers french...,Negative,14.5%,29.7%,55.8%
5210,add morning coffee brew aroma taste best look recipes line learned mideastern ma...,Neutral,29.0%,38.8%,32.2%
5211,best cappuccino coffee candy ive ever tasted im glad finally found online...,Negative,11.4%,11.5%,77.2%
5212,amys always delicious organic vegetarian food options wonderful thing unfortunat...,Neutral,23.6%,42.7%,33.6%
5213,ive purchased wellness border collie epileptic omega fish oils organic ingredien...,Negative,30.1%,24.8%,45.1%
5214,cats little year old started feeding blue buffalo always gassy cats getting plum...,Neutral,7.2%,59.2%,33.6%
5215,feeding canidae long time local carrier raised prices without taxes figured need...,Neutral,5.5%,66.6%,27.9%
5216,know finding hot chocolate taste great brewed keurig big challenge well hot choc...,Neutral,25.8%,69.3%,4.9%
5217,sorely disappointed flavors came e sample pack got tasted like diet saccharine b...,Neutral,2.9%,66.5%,30.6%
5218,thats best way describe pop mouth sensation similar chewing beef jerky much bett...,Positive,67.0%,17.1%,15.9%
5219,eat eat another brand pricy grocessry store amazon could get best deal subscribe...,Negative,0.4%,18.2%,81.3%
5220,agree tried number brands diedrich french roast richer flaorful others tasted th...,Positive,62.3%,22.6%,15.1%
5221,cant figure gerber nd peas hard find storei see something green always green bea...,Negative,23.2%,15.2%,61.6%
5222,decided purchase product online stores purchased previously longer...,Negative,29.5%,27.8%,42.7%
5223,best honey ever hated honey lifeused gag child mother would try give cough sore ...,Neutral,19.4%,80.4%,0.3%
5224,nothing comes realatively cheap days still get satisfaction love stash tea prese...,Negative,34.0%,18.7%,47.3%
5225,really high hopes tea arrived mail immediately opened pack made tea really expec...,Negative,18.4%,4.9%,76.7%
